GOID	GO term	Frequency	Genome Frequency	Gene(s)
6310	 DNA recombination	17 out of 474 genes, 3.6%	174 of 6338 genes, 2.7%	RDH54,MCM7,RPS16B,YRF1-1,YRF1-2,HOP2,SLD3,YRF1-3,RIM4,SLD2,RSC2,YRF1-4,YRF1-5,YRF1-6,PSF3,MSC6,YRF1-7
48285	 organelle fission	17 out of 474 genes, 3.6%	286 of 6338 genes, 4.5%	CDC15,MUM2,RDH54,GIC2,HOP2,RCK1,RIM4,RIM101,IME2,IME1,YCS4,NIS1,PEX11,GAC1,MSC6,IPL1,MCM16
23052	 signaling	17 out of 474 genes, 3.6%	240 of 6338 genes, 3.8%	GPB2,SSK22,STE7,RRI1,CDC37,MTH1,MF(ALPHA)2,RPI1,POG1,STE3,SSK2,AVO1,RGS2,RLM1,CDC60,BEM4,MF(ALPHA)1
6974	 cellular response to DNA damage stimulus	16 out of 474 genes, 3.4%	297 of 6338 genes, 4.7%	NUP60,APN2,RDH54,MCM7,CHK1,PLM2,MIG3,RAD4,SLD3,IXR1,SLD2,RSC2,YIM1,DDR48,PSF3,TFB4
6468	 protein phosphorylation	16 out of 474 genes, 3.4%	198 of 6338 genes, 3.1%	CLN3,CDC15,CHK1,LRE1,SSK22,STE7,PRR2,KIN1,CDC37,PCL10,RCK1,PRK1,IME2,SSK2,IPL1,TFB4
71554	 cell wall organization or biogenesis	16 out of 474 genes, 3.4%	200 of 6338 genes, 3.2%	LRE1,STE7,SED1,UTR2,PCM1,ZRG8,SPO73,RIM101,RPI1,MHP1,CWP1,YPS3,RNT1,RIM21,AVO1,AZF1
8643	 carbohydrate transport	16 out of 474 genes, 3.4%	33 of 6338 genes, 0.5%	HXT15,MPH2,MTH1,HXT6,HXT3,STL1,HXT13,HXT4,HXT1,HXT8,HXT9,HXT16,RGT1,FPS1,HXT2,HXT11
51726	 regulation of cell cycle	15 out of 474 genes, 3.2%	208 of 6338 genes, 3.3%	CLN3,CDC15,CDC37,RSC3,GIC2,PCL10,RCK1,IME2,IME1,SLD2,YCS4,GID8,NIS1,GAC1,IPL1
70271	 protein complex biogenesis	15 out of 474 genes, 3.2%	327 of 6338 genes, 5.2%	STU1,ATG9,AIM7,CDC37,PAC2,SHY1,TRS65,BNR1,SLD2,COX12,ATP14,PEP5,LAS17,IPL1,YOP1
278	 mitotic cell cycle	15 out of 474 genes, 3.2%	321 of 6338 genes, 5.1%	CLN3,CDC15,BUD30,BUD26,GIC2,YHP1,RIM101,BUD19,SLD2,YCS4,GID8,NIS1,GAC1,IPL1,MCM16
6811	 ion transport	15 out of 474 genes, 3.2%	238 of 6338 genes, 3.8%	PET9,TAT1,SUL1,RHB1,FEN2,UGA4,ENA1,LEU5,VBA5,GEX2,FPS1,CSC1,ATP14,FET4,RSB1
6629	 lipid metabolic process	13 out of 474 genes, 2.7%	286 of 6338 genes, 4.5%	CST26,YPC1,PBN1,CRD1,RRI1,ERG28,ERG26,CAX4,MDM31,TCB2,ACC1,PEX11,GRE2
51603	 proteolysis involved in cellular protein catabolic process	13 out of 474 genes, 2.7%	248 of 6338 genes, 3.9%	FES1,UBX7,PBN1,ACL4,RAD4,COS4,COS8,SSM4,COS3,GID8,COS1,GAC1,IPL1
6281	 DNA repair	12 out of 474 genes, 2.5%	245 of 6338 genes, 3.9%	NUP60,APN2,RDH54,MCM7,RAD4,SLD3,IXR1,SLD2,RSC2,DDR48,PSF3,TFB4
6325	 chromatin organization	12 out of 474 genes, 2.5%	315 of 6338 genes, 5%	NUP60,MCM7,RSC3,XBP1,YAP5,YCS4,RSC2,PEP5,RNT1,PHO23,ORC5,SPN1
6520	 cellular amino acid metabolic process	12 out of 474 genes, 2.5%	209 of 6338 genes, 3.3%	UGA3,TRP1,PRO1,HPA3,UGA1,MSR1,HIS6,ALT1,CHA4,MSK1,CDC60,MSF1
6091	 generation of precursor metabolites and energy	12 out of 474 genes, 2.5%	153 of 6338 genes, 2.4%	PET9,COR1,YMR31,PCL10,SGA1,COX5B,HAP4,SDH1,AAC1,PPG1,GAC1,GDS1
43934	 sporulation	12 out of 474 genes, 2.5%	133 of 6338 genes, 2.1%	GPB2,UBX7,BUD30,EMI2,SPO73,SHC1,RIM4,RIM101,CWP1,SPO20,RIM21,SPS4
7124	 pseudohyphal growth	12 out of 474 genes, 2.5%	75 of 6338 genes, 1.2%	GPB2,MUM2,STE7,PTP1,NRG1,FLO11,IME1,PHD1,SOK2,TPM1,DFG16,SFL1
746	 conjugation	10 out of 474 genes, 2.1%	125 of 6338 genes, 2%	STE7,PRR2,RRI1,HBT1,MF(ALPHA)2,SUT1,POG1,STE3,FPS1,MF(ALPHA)1
31399	 regulation of protein modification process	10 out of 474 genes, 2.1%	135 of 6338 genes, 2.1%	CLN3,NUP60,LRE1,STE7,CDC37,PCL10,XBP1,RUP1,GAC1,IPL1
6364	 rRNA processing	10 out of 474 genes, 2.1%	312 of 6338 genes, 4.9%	RPS16B,UTP7,MTR3,NOP19,RPP1,LRP1,FAF1,BMT5,BUD22,RNT1
2181	 cytoplasmic translation	10 out of 474 genes, 2.1%	181 of 6338 genes, 2.9%	RPL23A,FES1,RPL13A,RPS16B,RPL24B,RPL2B,RPL16A,TIF11,RPS3,RPS19A
48193	 Golgi vesicle transport	10 out of 474 genes, 2.1%	187 of 6338 genes, 3%	ATG20,TRS23,COG2,TRS65,APL6,NEO1,COG8,PEP5,COG6,SLY41
8380	 RNA splicing	9 out of 474 genes, 1.9%	144 of 6338 genes, 2.3%	SEN34,PRP42,PRP3,PRP38,MRS1,YMR087W,HSH49,MNE1,THP3
6260	 DNA replication	9 out of 474 genes, 1.9%	158 of 6338 genes, 2.5%	MUM2,MCM7,CHK1,RSC3,SLD3,RIM4,SLD2,ORC5,PSF3
7033	 vacuole organization	9 out of 474 genes, 1.9%	80 of 6338 genes, 1.3%	CLN3,ATG9,IVY1,YHR138C,NEO1,VTC4,PEP5,TPM1,RIM21
15931	 nucleobase-containing compound transport	9 out of 474 genes, 1.9%	123 of 6338 genes, 1.9%	NUP60,PET9,VRG4,LEU5,NUP85,MSK1,RPS3,RPS19A,SPN1
1403	 invasive growth in response to glucose limitation	9 out of 474 genes, 1.9%	60 of 6338 genes, 0.9%	GPB2,STE7,PTP1,NRG1,FLO11,FLO10,PHO23,RIM21,SFL1
16197	 endosomal transport	8 out of 474 genes, 1.7%	99 of 6338 genes, 1.6%	RHB1,ATG20,COS4,COS8,VPS55,COS3,PEP5,COS1
51169	 nuclear transport	8 out of 474 genes, 1.7%	177 of 6338 genes, 2.8%	NUP60,IWR1,NUP85,RPS3,ACC1,RPS19A,IPL1,SPN1
6970	 response to osmotic stress	8 out of 474 genes, 1.7%	90 of 6338 genes, 1.4%	SMP1,SSK22,ENA1,NRG1,CDC37,SKO1,SSK2,USV1
45333	 cellular respiration	8 out of 474 genes, 1.7%	83 of 6338 genes, 1.3%	PET9,COR1,YMR31,COX5B,HAP4,SDH1,AAC1,GDS1
8033	 tRNA processing	8 out of 474 genes, 1.7%	106 of 6338 genes, 1.7%	SEN34,POP8,PUS9,TRM3,AIR2,RPP1,KTI12,YMR087W
70647	 protein modification by small protein conjugation or removal	8 out of 474 genes, 1.7%	193 of 6338 genes, 3.0%	NUP60,RRI1,OTU1,BUL2,PEP5,RUP1,GAC1,IPL1
6401	 RNA catabolic process	7 out of 474 genes, 1.5%	132 of 6338 genes, 2.1%	POP8,DHH1,AIR2,MTR3,RPP1,LRP1,RNT1
6979	 response to oxidative stress	7 out of 474 genes, 1.5%	102 of 6338 genes, 1.6%	HCM1,GRX3,YPR1,VHR1,XBP1,YKL069W,OXR1
6873	 cellular ion homeostasis	7 out of 474 genes, 1.5%	124 of 6338 genes, 2%	CRD1,GRX3,MDM31,IZH3,COS3,PDR5,VMA13
910	 cytokinesis	7 out of 474 genes, 1.5%	81 of 6338 genes, 1.3%	CDC15,BUD30,BUD26,RIM101,MYO1,BUD19,IPL1
7059	 chromosome segregation	7 out of 474 genes, 1.5%	189 of 6338 genes, 3%	RDH54,HOP2,YCS4,RSC2,GAC1,IPL1,MCM16
32787	 monocarboxylic acid metabolic process	7 out of 474 genes, 1.5%	134 of 6338 genes, 2.1%	PDB1,UGA3,UGA1,ACC1,BIO4,BIO3,PEX11
9311	 oligosaccharide metabolic process	7 out of 474 genes, 1.5%	29 of 6338 genes, 0.5%	MNN1,AMS1,SUC2,IMA3,IMA5,IMA4,IMA2
51186	 cofactor metabolic process	7 out of 474 genes, 1.5%	159 of 6338 genes, 2.5%	PDB1,HEM3,COQ11,AAC1,BIO4,BIO3,TKL1
51049	 regulation of transport	7 out of 474 genes, 1.5%	84 of 6338 genes, 1.3%	SUT1,PRK1,RHO3,RGT1,PEP5,CUP9,IPL1
32200	 telomere organization	7 out of 474 genes, 1.5%	77 of 6338 genes, 1.2%	YRF1-1,YRF1-2,YRF1-3,YRF1-4,YRF1-5,YRF1-6,YRF1-7
6397	 mRNA processing	6 out of 474 genes, 1.3%	175 of 6338 genes, 2.8%	PCF11,PRP42,PRP3,PRP38,HSH49,THP3
9451	 RNA modification	6 out of 474 genes, 1.3%	170 of 6338 genes, 2.7%	MUM2,PUS9,TRM3,AIR2,BMT5,KTI12
42274	 ribosomal small subunit biogenesis	6 out of 474 genes, 1.3%	135 of 6338 genes, 2.1%	RPS16B,UTP7,NOP19,FAF1,BUD22,RPS19A
42594	 response to starvation	6 out of 474 genes, 1.3%	54 of 6338 genes, 0.9%	ENA1,MIG1,SUT1,MIG2,VHR1,ZAP1
32543	 mitochondrial translation	6 out of 474 genes, 1.3%	167 of 6338 genes, 2.6%	YMR31,MSR1,RSM26,MSK1,IFM1,MSF1
6897	 endocytosis	6 out of 474 genes, 1.3%	97 of 6338 genes, 1.5%	SWH1,FEN2,BRE4,NEO1,PRK1,MSB3
6869	 lipid transport	5 out of 474 genes, 1.1%	63 of 6338 genes, 1%	SWH1,SUT1,LAM4,PDR11,RSB1
32196	 transposition	5 out of 474 genes, 1.1%	110 of 6338 genes, 1.7%	YAR009C,YCL074W,STE7,RTT105,BRF1
6887	 exocytosis	5 out of 474 genes, 1.1%	48 of 6338 genes, 0.8%	SWH1,KIN1,RHO3,TPM1,MSB3
43144	 snoRNA processing	5 out of 474 genes, 1.1%	45 of 6338 genes, 0.7%	POP8,MTR3,RPP1,LRP1,RNT1
6457	 protein folding	5 out of 474 genes, 1.1%	94 of 6338 genes, 1.5%	AHA1,PAC2,EMP65,EGD2,XDJ1
55086	 nucleobase-containing small molecule metabolic process	5 out of 474 genes, 1.1%	201 of 6338 genes, 3.2%	CPD1,COX5B,SDH1,ATP14,TKL1
48284	 organelle fusion	5 out of 474 genes, 1.1%	88 of 6338 genes, 1.4%	CLN3,IVY1,YHR138C,VTC4,PEP5
61025	 membrane fusion	5 out of 474 genes, 1.1%	76 of 6338 genes, 1.2%	CLN3,IVY1,YHR138C,VTC4,PEP5
18193	 peptidyl-amino acid modification	4 out of 474 genes, 0.8%	145 of 6338 genes, 2.3%	NUP60,EFM1,RKM1,IPL1
6354	 DNA-templated transcription, elongation	4 out of 474 genes, 0.8%	96 of 6338 genes, 1.5%	RSC3,RSC2,CAF40,SPN1
6470	 protein dephosphorylation	4 out of 474 genes, 0.8%	49 of 6338 genes, 0.8%	PTP1,RTR1,FCP1,PPG1
6766	 vitamin metabolic process	4 out of 474 genes, 0.8%	43 of 6338 genes, 0.7%	THI13,THI11,BIO4,BIO3
9408	 response to heat	4 out of 474 genes, 0.8%	68 of 6338 genes, 1.1%	NUP60,AHA1,PHO23,GAC1
6865	 amino acid transport	4 out of 474 genes, 0.8%	42 of 6338 genes, 0.7%	TAT1,RHB1,UGA4,VBA5
6418	 tRNA aminoacylation for protein translation	4 out of 474 genes, 0.8%	36 of 6338 genes, 0.6%	MSR1,MSK1,CDC60,MSF1
6352	 DNA-templated transcription, initiation	3 out of 474 genes, 0.6%	71 of 6338 genes, 1.1%	BRF1,MED6,SIN4
6353	 DNA-templated transcription, termination	3 out of 474 genes, 0.6%	43 of 6338 genes, 0.7%	PCF11,RNT1,SYC1
6997	 nucleus organization	3 out of 474 genes, 0.6%	66 of 6338 genes, 1.0%	NUP85,ACC1,YOP1
10324	 membrane invagination	3 out of 474 genes, 0.6%	50 of 6338 genes, 0.8%	SWH1,ATG9,VTC4
70925	 organelle assembly	3 out of 474 genes, 0.6%	124 of 6338 genes, 2%	ATG9,DHH1,IPL1
48308	 organelle inheritance	3 out of 474 genes, 0.6%	58 of 6338 genes, 0.9%	MDM31,TPM1,YOP1
6360	 transcription from RNA polymerase I promoter	3 out of 474 genes, 0.6%	66 of 6338 genes, 1.0%	RRN10,PHO23,RPA135
51604	 protein maturation	3 out of 474 genes, 0.6%	48 of 6338 genes, 0.8%	PBN1,IMP1,DFG16
7031	 peroxisome organization	3 out of 474 genes, 0.6%	70 of 6338 genes, 1.1%	COG2,PEX18,PEX11
6413	 translational initiation	2 out of 474 genes, 0.4%	61 of 6338 genes, 1%	TIF11,IFM1
16570	 histone modification	2 out of 474 genes, 0.4%	112 of 6338 genes, 1.8%	XBP1,PEP5
6486	 protein glycosylation	2 out of 474 genes, 0.4%	61 of 6338 genes, 1%	MNN1,CAX4
902	 cell morphogenesis	2 out of 474 genes, 0.4%	29 of 6338 genes, 0.5%	HBT1,TAO3
7114	 cell budding	2 out of 474 genes, 0.4%	59 of 6338 genes, 0.9%	TAO3,TPM1
54	 ribosomal subunit export from nucleus	2 out of 474 genes, 0.4%	46 of 6338 genes, 0.7%	NUP85,RPS3
8213	 protein alkylation	2 out of 474 genes, 0.4%	50 of 6338 genes, 0.8%	EFM1,RKM1
51052	 regulation of DNA metabolic process	2 out of 474 genes, 0.4%	104 of 6338 genes, 1.6%	CHK1,RSC3
6417	 regulation of translation	2 out of 474 genes, 0.4%	101 of 6338 genes, 1.6%	DHH1,SBP1
6497	 protein lipidation	1 out of 474 genes, 0.2%	45 of 6338 genes, 0.7%	PBN1
6383	 transcription from RNA polymerase III promoter	1 out of 474 genes, 0.2%	41 of 6338 genes, 0.6%	BRF1
6414	 translational elongation	1 out of 474 genes, 0.2%	330 of 6338 genes, 5.2%	DHH1
16050	 vesicle organization	1 out of 474 genes, 0.2%	72 of 6338 genes, 1.1%	PEP5
42273	 ribosomal large subunit biogenesis	0 out of 474 genes, 0%	103 of 6338 genes, 1.6%	none
43543	 protein acylation	0 out of 474 genes, 0%	66 of 6338 genes, 1.0%	none
42255	 ribosome assembly	0 out of 474 genes, 0%	56 of 6338 genes, 0.9%	none
other	other	25 out of 474 genes, 5.3%		FLO9,MAK32,HMRA1,ADH7,AAD3,BPL1,YDR089W,YGL114W,ARN1,RTC3,ECM14,MET18,GAT4,DAL2,URB2,STE6,ECM4,GAT3,SRL2,HFD1,FRE4,PAC1,PDR12,HSP32,YPR196W
not_yet_annotated	not_yet_annotated	2 out of 474 genes, 0.4%		STA1,STA3
