stock,date,volume
BAC,6/3/2011,596420503
CAT,1/14/2011,19707235
CAT,1/21/2011,28651009
CAT,1/28/2011,34929068
CAT,1/7/2011,24135903
CAT,2/11/2011,27632394
CAT,2/18/2011,16331886
CAT,2/25/2011,28146727
CAT,2/4/2011,31169285
CAT,3/11/2011,38614049
CAT,3/18/2011,54195667
CAT,3/25/2011,37837456
CAT,3/4/2011,29851515
CAT,4/1/2011,28116391
CAT,4/15/2011,30697889
CAT,4/21/2011,23938892
CAT,4/29/2011,34522949
CAT,4/8/2011,28772937
CAT,5/13/2011,38211403
CAT,5/20/2011,54274252
CAT,5/27/2011,30213720
CAT,5/6/2011,39678464
CAT,6/10/2011,40431926
CAT,6/17/2011,43606429
CAT,6/24/2011,43722864
CAT,6/3/2011,35887587
CSCO,1/14/2011,154708263
CSCO,1/21/2011,193706863
CSCO,1/28/2011,265687272
CSCO,1/7/2011,303545878
CSCO,2/11/2011,1000362015
CSCO,2/18/2011,390258123
CSCO,2/25/2011,285212201
CSCO,2/4/2011,236334561
CSCO,3/11/2011,311209442
CSCO,3/18/2011,444161658
CSCO,3/25/2011,284574143
CSCO,3/4/2011,302059981
CSCO,4/1/2011,308644641
CSCO,4/15/2011,324203125
CSCO,4/21/2011,249420898
CSCO,4/29/2011,412492845
CSCO,4/8/2011,539982011
CSCO,5/13/2011,563552552
CSCO,5/20/2011,371711669
CSCO,5/27/2011,235050333
CSCO,5/6/2011,290282402
CSCO,6/10/2011,412198054
CSCO,6/17/2011,401380782
CSCO,6/24/2011,429730443
CSCO,6/3/2011,256069538
CVX,1/14/2011,28260512
CVX,1/21/2011,27752622
CVX,1/28/2011,42303108
CVX,1/7/2011,35556288
CVX,2/11/2011,38838595
CVX,2/18/2011,28037827
CVX,2/25/2011,57897831
CVX,2/4/2011,48766293
CVX,3/11/2011,43673568
CVX,3/18/2011,56186791
CVX,3/25/2011,39606692
CVX,3/4/2011,48214502
CVX,4/1/2011,35824123
CVX,4/15/2011,42617245
CVX,4/21/2011,18873837
CVX,4/29/2011,28004621
CVX,4/8/2011,31958307
CVX,5/13/2011,43103424
CVX,5/20/2011,39951901
CVX,5/27/2011,28858240
CVX,5/6/2011,44930373
CVX,6/10/2011,35612426
CVX,6/17/2011,44845243
CVX,6/24/2011,42615162
CVX,6/3/2011,32206213
DD,1/14/2011,34546875
DD,1/21/2011,25611091
DD,1/28/2011,45429653
DD,1/7/2011,27658789
DD,2/11/2011,37155830
DD,2/18/2011,27705910
DD,2/25/2011,33190716
DD,2/4/2011,31069977
DD,3/11/2011,27091813
DD,3/18/2011,39779608
DD,3/25/2011,24464568
DD,3/4/2011,32958368
DD,4/1/2011,23341552
DD,4/15/2011,24059673
DD,4/21/2011,15537427
DD,4/29/2011,27349183
DD,4/8/2011,19685778
DD,5/13/2011,27207924
DD,5/20/2011,27511651
DD,5/27/2011,24845668
DD,5/6/2011,27498887
DD,6/10/2011,28186429
DD,6/17/2011,36027620
DD,6/24/2011,34797906
DD,6/3/2011,25203572
DIS,1/14/2011,31943413
DIS,1/21/2011,36187032
DIS,1/28/2011,42131642
DIS,1/7/2011,72917621
DIS,2/11/2011,83975520
DIS,2/18/2011,33868302
DIS,2/25/2011,56966763
DIS,2/4/2011,53521486
DIS,3/11/2011,41229388
DIS,3/18/2011,65060004
DIS,3/25/2011,40696371
DIS,3/4/2011,53096584
DIS,4/1/2011,34130223
DIS,4/15/2011,40820710
DIS,4/21/2011,24312043
DIS,4/29/2011,30122091
DIS,4/8/2011,39055258
DIS,5/13/2011,78855110
DIS,5/20/2011,50988843
DIS,5/27/2011,34651349
DIS,5/6/2011,35369886
DIS,6/10/2011,49099516
DIS,6/17/2011,54513950
DIS,6/24/2011,50409504
DIS,6/3/2011,52169227
GE,1/14/2011,215626229
GE,1/21/2011,449508777
GE,1/28/2011,437317986
GE,1/7/2011,280146510
GE,2/11/2011,252254376
GE,2/18/2011,158691572
GE,2/25/2011,268500170
GE,2/4/2011,246591055
GE,3/11/2011,303566341
GE,3/18/2011,520516218
GE,3/25/2011,227819072
GE,3/4/2011,261175412
GE,4/1/2011,207897262
GE,4/15/2011,212315926
GE,4/21/2011,182835072
GE,4/29/2011,280299000
GE,4/8/2011,238618636
GE,5/13/2011,195448891
GE,5/20/2011,228297982
GE,5/27/2011,169411364
GE,5/6/2011,235180053
GE,6/10/2011,260898990
GE,6/17/2011,261979707
GE,6/24/2011,295978977
GE,6/3/2011,207576381
HD,1/14/2011,41918450
HD,1/21/2011,45249920
HD,1/28/2011,63397367
HD,1/7/2011,56576860
HD,2/11/2011,36079400
HD,2/18/2011,30619613
HD,2/25/2011,54816070
HD,2/4/2011,41844858
HD,3/11/2011,49156185
HD,3/18/2011,52758908
HD,3/25/2011,40337534
HD,3/4/2011,49763519
HD,4/1/2011,52881329
HD,4/15/2011,42983064
HD,4/21/2011,24190528
HD,4/29/2011,61019095
HD,4/8/2011,47021433
HD,5/13/2011,41391929
HD,5/20/2011,53378802
HD,5/27/2011,40673778
HD,5/6/2011,52439439
HD,6/10/2011,45606663
HD,6/17/2011,76297124
HD,6/24/2011,65416820
HD,6/3/2011,39307513
HPQ,1/14/2011,65464211
HPQ,1/21/2011,82623453
HPQ,1/28/2011,84066350
HPQ,1/7/2011,100020724
HPQ,2/11/2011,84089936
HPQ,2/18/2011,49401750
HPQ,2/25/2011,211147488
HPQ,2/4/2011,74475624
HPQ,3/11/2011,85140794
HPQ,3/18/2011,121051768
HPQ,3/25/2011,78089358
HPQ,3/4/2011,110702335
HPQ,4/1/2011,90069975
HPQ,4/15/2011,70321527
HPQ,4/21/2011,46244533
HPQ,4/29/2011,82362537
HPQ,4/8/2011,87672936
HPQ,5/13/2011,63498759
HPQ,5/20/2011,217523955
HPQ,5/27/2011,106507716
HPQ,5/6/2011,70249698
HPQ,6/10/2011,74301015
HPQ,6/17/2011,134346312
HPQ,6/24/2011,102774442
HPQ,6/3/2011,79313559
IBM,1/14/2011,15335348
IBM,1/21/2011,35770931
IBM,1/28/2011,32510483
IBM,1/7/2011,23492843
IBM,2/11/2011,26106753
IBM,2/18/2011,14352613
IBM,2/25/2011,21443811
IBM,2/4/2011,25377163
IBM,3/11/2011,31119857
IBM,3/18/2011,41827781
IBM,3/25/2011,25381792
IBM,3/4/2011,21549118
IBM,4/1/2011,19081936
IBM,4/15/2011,22183383
IBM,4/21/2011,23662621
IBM,4/29/2011,26829625
IBM,4/8/2011,17615408
IBM,5/13/2011,23505533
IBM,5/20/2011,26027660
IBM,5/27/2011,19453763
IBM,5/6/2011,29480567
IBM,6/10/2011,20646079
IBM,6/17/2011,29390025
IBM,6/24/2011,22984546
IBM,6/3/2011,23349972
INTC,1/14/2011,274111012
INTC,1/21/2011,218479469
INTC,1/28/2011,325168191
INTC,1/7/2011,386719626
INTC,2/11/2011,236842359
INTC,2/18/2011,201181541
INTC,2/25/2011,256135777
INTC,2/4/2011,277969054
INTC,3/11/2011,289874871
INTC,3/18/2011,347426088
INTC,3/25/2011,229150771
INTC,3/4/2011,291751623
INTC,4/1/2011,321390635
INTC,4/15/2011,231298341
INTC,4/21/2011,302470339
INTC,4/29/2011,466579710
INTC,4/8/2011,286343950
INTC,5/13/2011,344755154
INTC,5/20/2011,387571150
INTC,5/27/2011,210446967
INTC,5/6/2011,513891027
INTC,6/10/2011,249719951
INTC,6/17/2011,294273143
INTC,6/24/2011,309031457
INTC,6/3/2011,222978209
JNJ,1/14/2011,34950419
JNJ,1/21/2011,47999880
JNJ,1/28/2011,86229071
JNJ,1/7/2011,57774737
JNJ,2/11/2011,42897125
JNJ,2/18/2011,33273371
JNJ,2/25/2011,46786798
JNJ,2/4/2011,63641929
JNJ,3/11/2011,53844149
JNJ,3/18/2011,71716802
JNJ,3/25/2011,47498000
JNJ,3/4/2011,63576642
JNJ,4/1/2011,48029143
JNJ,4/15/2011,58631682
JNJ,4/21/2011,72888066
JNJ,4/29/2011,70745990
JNJ,4/8/2011,47141409
JNJ,5/13/2011,66040498
JNJ,5/20/2011,53385097
JNJ,5/27/2011,49866786
JNJ,5/6/2011,68840083
JNJ,6/10/2011,52231924
JNJ,6/17/2011,58201928
JNJ,6/24/2011,56535090
JNJ,6/3/2011,47426009
JPM,1/14/2011,144662779
JPM,1/21/2011,182971761
JPM,1/28/2011,154832501
JPM,1/7/2011,234547885
JPM,2/11/2011,162434145
JPM,2/18/2011,131941706
JPM,2/25/2011,139540125
JPM,2/4/2011,137430065
JPM,3/11/2011,140414285
JPM,3/18/2011,226413618
JPM,3/25/2011,117959443
JPM,3/4/2011,139051830
JPM,4/1/2011,112702290
JPM,4/15/2011,186017520
JPM,4/21/2011,113261188
JPM,4/29/2011,107332185
JPM,4/8/2011,121937602
JPM,5/13/2011,137013704
JPM,5/20/2011,145114846
JPM,5/27/2011,119828886
JPM,5/6/2011,131213937
JPM,6/10/2011,194764785
JPM,6/17/2011,183560880
JPM,6/24/2011,167589521
JPM,6/3/2011,145187926
KO,1/14/2011,31297830
KO,1/21/2011,36000586
KO,1/28/2011,42141599
KO,1/7/2011,59802189
KO,2/11/2011,46269528
KO,2/18/2011,29937386
KO,2/25/2011,32331825
KO,2/4/2011,34863226
KO,3/11/2011,44560041
KO,3/18/2011,59542953
KO,3/25/2011,29853434
KO,3/4/2011,61665987
KO,4/1/2011,39265955
KO,4/15/2011,40595470
KO,4/21/2011,19831270
KO,4/29/2011,44603365
KO,4/8/2011,32024467
KO,5/13/2011,32166394
KO,5/20/2011,32520067
KO,5/27/2011,26066805
KO,5/6/2011,33947562
KO,6/10/2011,30422351
KO,6/17/2011,43194922
KO,6/24/2011,49806614
KO,6/3/2011,31192400
KRFT,1/14/2011,24955086
KRFT,1/21/2011,41200255
KRFT,1/28/2011,55657855
KRFT,1/7/2011,44971770
KRFT,2/11/2011,65912258
KRFT,2/18/2011,38172345
KRFT,2/25/2011,50462721
KRFT,2/4/2011,34764359
KRFT,3/11/2011,41766976
KRFT,3/18/2011,51736270
KRFT,3/25/2011,41958399
KRFT,3/4/2011,55211152
KRFT,4/1/2011,38759730
KRFT,4/15/2011,71530535
KRFT,4/21/2011,33399240
KRFT,4/29/2011,42547809
KRFT,4/8/2011,34314135
KRFT,5/13/2011,47572999
KRFT,5/20/2011,48017488
KRFT,5/27/2011,31660711
KRFT,5/6/2011,58969733
KRFT,6/10/2011,43535139
KRFT,6/17/2011,44641104
KRFT,6/24/2011,39770714
KRFT,6/3/2011,38915498
MCD,1/14/2011,44895850
MCD,1/21/2011,40056497
MCD,1/28/2011,46734907
MCD,1/7/2011,85400677
MCD,2/11/2011,39363816
MCD,2/18/2011,16734140
MCD,2/25/2011,27881213
MCD,2/4/2011,41519549
MCD,3/11/2011,34855064
MCD,3/18/2011,40853280
MCD,3/25/2011,23877441
MCD,3/4/2011,41047787
MCD,4/1/2011,17977737
MCD,4/15/2011,21670715
MCD,4/21/2011,17718174
MCD,4/29/2011,22923015
MCD,4/8/2011,22337802
MCD,5/13/2011,26573357
MCD,5/20/2011,27816875
MCD,5/27/2011,26628471
MCD,5/6/2011,26460318
MCD,6/10/2011,31264251
MCD,6/17/2011,27515629
MCD,6/24/2011,28303321
MCD,6/3/2011,23382621
MMM,1/14/2011,11585909
MMM,1/21/2011,10705548
MMM,1/28/2011,26110543
MMM,1/7/2011,16166921
MMM,2/11/2011,16315175
MMM,2/18/2011,13431331
MMM,2/25/2011,17249356
MMM,2/4/2011,14960948
MMM,3/11/2011,18144593
MMM,3/18/2011,23633329
MMM,3/25/2011,14970403
MMM,3/4/2011,17453306
MMM,4/1/2011,14958061
MMM,4/15/2011,15375510
MMM,4/21/2011,9718851
MMM,4/29/2011,20655611
MMM,4/8/2011,12672220
MMM,5/13/2011,15657591
MMM,5/20/2011,16596686
MMM,5/27/2011,11695384
MMM,5/6/2011,17031494
MMM,6/10/2011,14734714
MMM,6/17/2011,15549946
MMM,6/24/2011,15126028
MMM,6/3/2011,12491882
MRK,1/14/2011,108158891
MRK,1/21/2011,131132702
MRK,1/28/2011,110066602
MRK,1/7/2011,72760487
MRK,2/11/2011,62039482
MRK,2/18/2011,54419625
MRK,2/25/2011,57467917
MRK,2/4/2011,114880019
MRK,3/11/2011,91319466
MRK,3/18/2011,86394177
MRK,3/25/2011,66135182
MRK,3/4/2011,128028062
MRK,4/1/2011,60348951
MRK,4/15/2011,85533686
MRK,4/21/2011,47226349
MRK,4/29/2011,83960030
MRK,4/8/2011,64799122
MRK,5/13/2011,59693542
MRK,5/20/2011,74833386
MRK,5/27/2011,52416661
MRK,5/6/2011,82810421
MRK,6/10/2011,57259558
MRK,6/17/2011,57933495
MRK,6/24/2011,63163236
MRK,6/3/2011,46564832
MSFT,1/14/2011,227601331
MSFT,1/21/2011,220040646
MSFT,1/28/2011,457318851
MSFT,1/7/2011,328646154
MSFT,2/11/2011,317408348
MSFT,2/18/2011,228916129
MSFT,2/25/2011,238628349
MSFT,2/4/2011,274432773
MSFT,3/11/2011,271799244
MSFT,3/18/2011,379216242
MSFT,3/25/2011,217545216
MSFT,3/4/2011,298801508
MSFT,4/1/2011,258143967
MSFT,4/15/2011,229693684
MSFT,4/21/2011,158547201
MSFT,4/29/2011,554889924
MSFT,4/8/2011,260749872
MSFT,5/13/2011,382293426
MSFT,5/20/2011,311462943
MSFT,5/27/2011,213316051
MSFT,5/6/2011,346656165
MSFT,6/10/2011,230307366
MSFT,6/17/2011,280430166
MSFT,6/24/2011,309206180
MSFT,6/3/2011,246418070
PFE,1/14/2011,218359623
PFE,1/21/2011,159663706
PFE,1/28/2011,277157388
PFE,1/7/2011,386804789
PFE,2/11/2011,180912039
PFE,2/18/2011,153153528
PFE,2/25/2011,177077740
PFE,2/4/2011,358819619
PFE,3/11/2011,195391037
PFE,3/18/2011,457640533
PFE,3/25/2011,215914627
PFE,3/4/2011,257979737
PFE,4/1/2011,170424399
PFE,4/15/2011,209481824
PFE,4/21/2011,143338656
PFE,4/29/2011,205782608
PFE,4/8/2011,199157969
PFE,5/13/2011,180162306
PFE,5/20/2011,249113161
PFE,5/27/2011,162550095
PFE,5/6/2011,273973053
PFE,6/10/2011,196181321
PFE,6/17/2011,229372501
PFE,6/24/2011,259247639
PFE,6/3/2011,169014117
PG,1/14/2011,41932473
PG,1/21/2011,46213962
PG,1/28/2011,70042160
PG,1/7/2011,52323352
PG,2/11/2011,51999812
PG,2/18/2011,36098973
PG,2/25/2011,47748854
PG,2/4/2011,57201539
PG,3/11/2011,52731797
PG,3/18/2011,66311521
PG,3/25/2011,41351155
PG,3/4/2011,59801160
PG,4/1/2011,43453701
PG,4/15/2011,51918017
PG,4/21/2011,29487333
PG,4/29/2011,53544624
PG,4/8/2011,38792072
PG,5/13/2011,49677302
PG,5/20/2011,47738539
PG,5/27/2011,37114265
PG,5/6/2011,55046479
PG,6/10/2011,48599369
PG,6/17/2011,46861128
PG,6/24/2011,53025186
PG,6/3/2011,37312488
T,1/14/2011,170616350
T,1/21/2011,130584257
T,1/28/2011,171464186
T,1/7/2011,157834347
T,2/11/2011,128889979
T,2/18/2011,88244232
T,2/25/2011,94960503
T,2/4/2011,118469916
T,3/11/2011,139153253
T,3/18/2011,153806769
T,3/25/2011,169105318
T,3/4/2011,118740085
T,4/1/2011,384284485
T,4/15/2011,108080405
T,4/21/2011,76563904
T,4/29/2011,112339712
T,4/8/2011,148206324
T,5/13/2011,92523592
T,5/20/2011,102539987
T,5/27/2011,73854767
T,5/6/2011,156030184
T,6/10/2011,95255686
T,6/17/2011,114504788
T,6/24/2011,116043866
T,6/3/2011,85085937
TRV,1/14/2011,14820631
TRV,1/21/2011,13631048
TRV,1/28/2011,26595621
TRV,1/7/2011,20010115
TRV,2/11/2011,19539527
TRV,2/18/2011,14107769
TRV,2/25/2011,20849299
TRV,2/4/2011,27494461
TRV,3/11/2011,15980871
TRV,3/18/2011,24832210
TRV,3/25/2011,14126721
TRV,3/4/2011,20284170
TRV,4/1/2011,16608737
TRV,4/15/2011,15459751
TRV,4/21/2011,10135730
TRV,4/29/2011,16046782
TRV,4/8/2011,12307164
TRV,5/13/2011,14388418
TRV,5/20/2011,11795580
TRV,5/27/2011,12344531
TRV,5/6/2011,14335889
TRV,6/10/2011,18091902
TRV,6/17/2011,20647583
TRV,6/24/2011,20959450
TRV,6/3/2011,13535632
UTX,1/14/2011,12713121
UTX,1/21/2011,16471934
UTX,1/28/2011,23565688
UTX,1/7/2011,15797841
UTX,2/11/2011,16641148
UTX,2/18/2011,11922670
UTX,2/25/2011,15551183
UTX,2/4/2011,15689029
UTX,3/11/2011,22004496
UTX,3/18/2011,26234929
UTX,3/25/2011,19032729
UTX,3/4/2011,19167224
UTX,4/1/2011,16314122
UTX,4/15/2011,17017620
UTX,4/21/2011,16859647
UTX,4/29/2011,20800024
UTX,4/8/2011,11690792
UTX,5/13/2011,17420630
UTX,5/20/2011,22021867
UTX,5/27/2011,15097865
UTX,5/6/2011,21797524
UTX,6/10/2011,20109892
UTX,6/17/2011,22074891
UTX,6/24/2011,20775217
UTX,6/3/2011,21179642
VZ,1/14/2011,130610954
VZ,1/21/2011,108296302
VZ,1/28/2011,124127036
VZ,1/7/2011,141938064
VZ,2/11/2011,78429505
VZ,2/18/2011,68915874
VZ,2/25/2011,57673647
VZ,2/4/2011,72890565
VZ,3/11/2011,66137992
VZ,3/18/2011,124202175
VZ,3/25/2011,79604168
VZ,3/4/2011,80086312
VZ,4/1/2011,96766651
VZ,4/15/2011,55355691
VZ,4/21/2011,37735134
VZ,4/29/2011,68330713
VZ,4/8/2011,62429599
VZ,5/13/2011,50917728
VZ,5/20/2011,53263954
VZ,5/27/2011,43400125
VZ,5/6/2011,84281362
VZ,6/10/2011,72100710
VZ,6/17/2011,69585912
VZ,6/24/2011,82375230
VZ,6/3/2011,50174214
WMT,1/14/2011,48929455
WMT,1/21/2011,53009787
WMT,1/28/2011,69546259
WMT,1/7/2011,64231179
WMT,2/11/2011,49477410
WMT,2/18/2011,51556658
WMT,2/25/2011,92696912
WMT,2/4/2011,60981950
WMT,3/11/2011,69185186
WMT,3/18/2011,63198175
WMT,3/25/2011,53385178
WMT,3/4/2011,74964203
WMT,4/1/2011,44519431
WMT,4/15/2011,45662991
WMT,4/21/2011,23073491
WMT,4/29/2011,47159044
WMT,4/8/2011,48382262
WMT,5/13/2011,42649301
WMT,5/20/2011,56695842
WMT,5/27/2011,35560853
WMT,5/6/2011,46668727
WMT,6/10/2011,58746396
WMT,6/17/2011,68996550
WMT,6/24/2011,75602550
WMT,6/3/2011,48156051
XOM,1/14/2011,74376886
XOM,1/21/2011,99941187
XOM,1/28/2011,115376817
XOM,1/7/2011,101740933
XOM,2/11/2011,85733429
XOM,2/18/2011,93325562
XOM,2/25/2011,122018405
XOM,2/4/2011,129743696
XOM,3/11/2011,92727886
XOM,3/18/2011,123914255
XOM,3/25/2011,83364516
XOM,3/4/2011,102134160
XOM,4/1/2011,77569311
XOM,4/15/2011,81056144
XOM,4/21/2011,43378708
XOM,4/29/2011,81596868
XOM,4/8/2011,75566590
XOM,5/13/2011,99678100
XOM,5/20/2011,86758820
XOM,5/27/2011,68230855
XOM,5/6/2011,113805856
XOM,6/10/2011,92380844
XOM,6/17/2011,100521400
XOM,6/24/2011,118679791
XOM,6/3/2011,78616295
